date,open,high,low,close
2023-02-08 21:00:00,22831.0,22979.0,22831.0,22958.0
2023-02-08 22:00:00,22955.0,22978.0,22918.0,22932.0
2023-02-08 23:00:00,22931.0,22962.0,22878.0,22961.0
2023-02-09 00:00:00,22965.0,23003.0,22937.0,22985.0
2023-02-09 01:00:00,22986.0,22989.0,22943.0,22947.0
2023-02-09 02:00:00,22950.0,22954.0,22818.0,22818.0
2023-02-09 03:00:00,22812.0,22812.0,22460.0,22519.0
2023-02-09 04:00:00,22506.0,22605.0,22378.0,22572.0
2023-02-09 05:00:00,22570.0,22631.0,22544.0,22607.0
2023-02-09 06:00:00,22605.0,22724.0,22581.0,22723.0
2023-02-09 07:00:00,22724.0,22727.0,22647.0,22680.0
2023-02-09 08:00:00,22679.0,22760.0,22678.0,22727.0
2023-02-09 09:00:00,22722.0,22747.0,22684.0,22738.0
2023-02-09 10:00:00,22742.0,22743.0,22679.0,22702.0
2023-02-09 11:00:00,22704.0,22733.0,22674.0,22689.0
2023-02-09 12:00:00,22692.0,22781.0,22573.0,22711.0
2023-02-09 13:00:00,22716.0,22762.0,22686.0,22748.0
2023-02-09 14:00:00,22758.0,22821.0,22681.0,22698.0
2023-02-09 15:00:00,22703.0,22709.0,22567.0,22606.0
2023-02-09 16:00:00,22613.0,22621.0,22464.0,22507.0
2023-02-09 17:00:00,22502.0,22592.0,22462.0,22536.0
2023-02-09 18:00:00,22536.0,22596.0,22467.0,22514.0
2023-02-09 19:00:00,22516.0,22523.0,21897.0,22033.0
2023-02-09 20:00:00,22034.0,22082.0,21842.0,21994.0
2023-02-09 21:00:00,21993.0,21993.0,21700.0,21859.0
2023-02-09 22:00:00,21848.0,21957.0,21711.0,21774.0
2023-02-09 23:00:00,21769.0,21858.0,21757.0,21802.0
2023-02-10 00:00:00,21803.0,21879.0,21768.0,21831.0
2023-02-10 01:00:00,21830.0,21894.0,21807.0,21894.0
2023-02-10 02:00:00,21893.0,21939.0,21865.0,21928.0
2023-02-10 03:00:00,21932.0,21935.0,21831.0,21833.0
2023-02-10 04:00:00,21834.0,21834.0,21724.0,21793.0
2023-02-10 05:00:00,21788.0,21845.0,21633.0,21805.0
2023-02-10 06:00:00,21790.0,21879.0,21790.0,21879.0
2023-02-10 07:00:00,21878.0,21932.0,21840.0,21926.0
2023-02-10 08:00:00,21921.0,21933.0,21878.0,21901.0
2023-02-10 09:00:00,21904.0,21911.0,21822.0,21828.0
2023-02-10 10:00:00,21832.0,21862.0,21810.0,21857.0
2023-02-10 11:00:00,21857.0,21857.0,21727.0,21740.0
2023-02-10 12:00:00,21745.0,21795.0,21696.0,21726.0
2023-02-10 13:00:00,21723.0,21827.0,21721.0,21774.0
2023-02-10 14:00:00,21775.0,21886.0,21765.0,21846.0
2023-02-10 15:00:00,21847.0,21897.0,21534.0,21661.0
2023-02-10 16:00:00,21661.0,21737.0,21585.0,21611.0
2023-02-10 17:00:00,21608.0,21698.0,21565.0,21694.0
2023-02-10 18:00:00,21698.0,21732.0,21678.0,21707.0
2023-02-10 19:00:00,21713.0,21796.0,21664.0,21775.0
2023-02-10 20:00:00,21777.0,21789.0,21727.0,21730.0
2023-02-10 21:00:00,21726.0,21730.0,21454.0,21542.0
2023-02-10 22:00:00,21541.0,21638.0,21527.0,21579.0
2023-02-10 23:00:00,21578.0,21657.0,21564.0,21639.0
2023-02-11 00:00:00,21631.0,21685.0,21610.0,21665.0
2023-02-11 01:00:00,21660.0,21696.0,21620.0,21647.0
2023-02-11 02:00:00,21641.0,21680.0,21626.0,21655.0
2023-02-11 03:00:00,21657.0,21719.0,21655.0,21683.0
2023-02-11 04:00:00,21683.0,21697.0,21669.0,21691.0
2023-02-11 05:00:00,21691.0,21712.0,21675.0,21679.0
2023-02-11 06:00:00,21679.0,21684.0,21663.0,21673.0
2023-02-11 07:00:00,21674.0,21717.0,21649.0,21694.0
2023-02-11 08:00:00,21694.0,21708.0,21686.0,21692.0
2023-02-11 09:00:00,21695.0,21705.0,21679.0,21705.0
2023-02-11 10:00:00,21704.0,21704.0,21664.0,21674.0
2023-02-11 11:00:00,21674.0,21702.0,21671.0,21701.0
2023-02-11 12:00:00,21700.0,21764.0,21671.0,21718.0
2023-02-11 13:00:00,21717.0,21839.0,21703.0,21752.0
2023-02-11 14:00:00,21751.0,21760.0,21720.0,21757.0
2023-02-11 15:00:00,21755.0,21763.0,21725.0,21737.0
2023-02-11 16:00:00,21737.0,21739.0,21685.0,21696.0
2023-02-11 17:00:00,21698.0,21703.0,21674.0,21701.0
2023-02-11 18:00:00,21701.0,21732.0,21629.0,21657.0
2023-02-11 19:00:00,21656.0,21674.0,21648.0,21665.0
2023-02-11 20:00:00,21666.0,21723.0,21653.0,21678.0
2023-02-11 21:00:00,21675.0,21840.0,21667.0,21830.0
2023-02-11 22:00:00,21824.0,21879.0,21784.0,21830.0
2023-02-11 23:00:00,21830.0,21904.0,21815.0,21868.0
2023-02-12 00:00:00,21868.0,21884.0,21814.0,21821.0
2023-02-12 01:00:00,21821.0,21849.0,21794.0,21813.0
2023-02-12 02:00:00,21811.0,21825.0,21773.0,21824.0
2023-02-12 03:00:00,21822.0,21826.0,21787.0,21787.0
2023-02-12 04:00:00,21787.0,21793.0,21770.0,21787.0
2023-02-12 05:00:00,21790.0,21807.0,21779.0,21804.0
2023-02-12 06:00:00,21807.0,21819.0,21798.0,21816.0
2023-02-12 07:00:00,21817.0,21821.0,21732.0,21802.0
2023-02-12 08:00:00,21802.0,21847.0,21802.0,21814.0
2023-02-12 09:00:00,21814.0,21950.0,21804.0,21914.0
2023-02-12 10:00:00,21916.0,21918.0,21813.0,21882.0
2023-02-12 11:00:00,21884.0,21889.0,21869.0,21889.0
2023-02-12 12:00:00,21889.0,21895.0,21824.0,21830.0
2023-02-12 13:00:00,21830.0,21834.0,21774.0,21816.0
2023-02-12 14:00:00,21816.0,21987.0,21816.0,21926.0
